epoch,lr-AdamW,step,train/loss_epoch,train/loss_step,val/cSDR,val/loss
,0.0002,0,,,,
0,,7,,,-19.13440704345703,0.9439811110496521
0,,7,1.7499818801879883,,,
,0.0002,8,,,,
1,,15,,,-19.563966751098633,0.8139008283615112
1,,15,0.7958279848098755,,,
,0.0002,16,,,,
2,,19,,0.7694623470306396,,
2,,23,,,-19.270957946777344,0.8069356679916382
2,,23,0.7537793517112732,,,
,0.0002,24,,,,
3,,31,,,-19.53057861328125,0.8014354109764099
3,,31,0.7448757886886597,,,
,0.0002,32,,,,
4,,39,,0.7058814167976379,,
4,,39,,,-19.520044326782227,0.8001313209533691
4,,39,0.7113118171691895,,,
,0.0002,40,,,,
5,,47,,,-19.420204162597656,0.7982763051986694
5,,47,0.7194696068763733,,,
,0.0002,48,,,,
6,,55,,,-19.380695343017578,0.7968234419822693
6,,55,0.7379584908485413,,,
,0.0002,56,,,,
7,,59,,0.6244557499885559,,
7,,63,,,-19.396230697631836,0.7960580587387085
7,,63,0.7085441946983337,,,
,0.0002,64,,,,
8,,71,,,-19.416015625,0.7956395745277405
8,,71,0.7171184420585632,,,
,0.0002,72,,,,
9,,79,,0.6709269285202026,,
9,,79,,,-19.40732765197754,0.7954597473144531
9,,79,0.7324511408805847,,,
